location,session,start,end,url
Belgium,Practice 1,2022-08-26T12:00:00Z,2022-08-26T13:00:00Z,https://www.formula1.com/en/racing/2022/Belgium.html
Belgium,Practice 2,2022-08-26T15:00:00Z,2022-08-26T16:00:00Z,https://www.formula1.com/en/racing/2022/Belgium.html
Belgium,Practice 3,2022-08-27T11:00:00Z,2022-08-27T12:00:00Z,https://www.formula1.com/en/racing/2022/Belgium.html
Belgium,Qualifying,2022-08-27T14:00:00Z,2022-08-27T15:00:00Z,https://www.formula1.com/en/racing/2022/Belgium.html
Belgium,Race,2022-08-28T13:00:00Z,2022-08-28T15:00:00Z,https://www.formula1.com/en/racing/2022/Belgium.html
Netherlands,Practice 1,2022-09-02T10:30:00Z,2022-09-02T11:30:00Z,https://www.formula1.com/en/racing/2022/Netherlands.html
Netherlands,Practice 2,2022-09-02T14:00:00Z,2022-09-02T15:00:00Z,https://www.formula1.com/en/racing/2022/Netherlands.html
Netherlands,Practice 3,2022-09-03T10:00:00Z,2022-09-03T11:00:00Z,https://www.formula1.com/en/racing/2022/Netherlands.html
Netherlands,Qualifying,2022-09-03T13:00:00Z,2022-09-03T14:00:00Z,https://www.formula1.com/en/racing/2022/Netherlands.html
Netherlands,Race,2022-09-04T13:00:00Z,2022-09-04T15:00:00Z,https://www.formula1.com/en/racing/2022/Netherlands.html
Italy,Practice 1,2022-09-09T12:00:00Z,2022-09-09T13:00:00Z,https://www.formula1.com/en/racing/2022/Italy.html
Italy,Practice 2,2022-09-09T15:00:00Z,2022-09-09T16:00:00Z,https://www.formula1.com/en/racing/2022/Italy.html
Italy,Practice 3,2022-09-10T11:00:00Z,2022-09-10T12:00:00Z,https://www.formula1.com/en/racing/2022/Italy.html
Italy,Qualifying,2022-09-10T14:00:00Z,2022-09-10T15:00:00Z,https://www.formula1.com/en/racing/2022/Italy.html
Italy,Race,2022-09-11T13:00:00Z,2022-09-11T15:00:00Z,https://www.formula1.com/en/racing/2022/Italy.html
Singapore,Practice 1,2022-09-30T10:00:00Z,2022-09-30T11:00:00Z,https://www.formula1.com/en/racing/2022/Singapore.html
Singapore,Practice 2,2022-09-30T13:00:00Z,2022-09-30T14:00:00Z,https://www.formula1.com/en/racing/2022/Singapore.html
Singapore,Practice 3,2022-10-01T10:00:00Z,2022-10-01T11:00:00Z,https://www.formula1.com/en/racing/2022/Singapore.html
Singapore,Qualifying,2022-10-01T13:00:00Z,2022-10-01T14:00:00Z,https://www.formula1.com/en/racing/2022/Singapore.html
Singapore,Race,2022-10-02T12:00:00Z,2022-10-02T14:00:00Z,https://www.formula1.com/en/racing/2022/Singapore.html
Japan,Practice 1,2022-10-07T03:00:00Z,2022-10-07T04:00:00Z,https://www.formula1.com/en/racing/2022/Japan.html
Japan,Practice 2,2022-10-07T06:00:00Z,2022-10-07T07:00:00Z,https://www.formula1.com/en/racing/2022/Japan.html
Japan,Practice 3,2022-10-08T03:00:00Z,2022-10-08T04:00:00Z,https://www.formula1.com/en/racing/2022/Japan.html
Japan,Qualifying,2022-10-08T06:00:00Z,2022-10-08T07:00:00Z,https://www.formula1.com/en/racing/2022/Japan.html
Japan,Race,2022-10-09T05:00:00Z,2022-10-09T07:00:00Z,https://www.formula1.com/en/racing/2022/Japan.html
United_States,Practice 1,2022-10-21T19:00:00Z,2022-10-21T20:00:00Z,https://www.formula1.com/en/racing/2022/United_States.html
United_States,Practice 2,2022-10-21T22:00:00Z,2022-10-21T23:00:00Z,https://www.formula1.com/en/racing/2022/United_States.html
United_States,Practice 3,2022-10-22T19:00:00Z,2022-10-22T20:00:00Z,https://www.formula1.com/en/racing/2022/United_States.html
United_States,Qualifying,2022-10-22T22:00:00Z,2022-10-22T23:00:00Z,https://www.formula1.com/en/racing/2022/United_States.html
United_States,Race,2022-10-23T19:00:00Z,2022-10-23T21:00:00Z,https://www.formula1.com/en/racing/2022/United_States.html
Mexico,Practice 1,2022-10-28T18:00:00Z,2022-10-28T19:00:00Z,https://www.formula1.com/en/racing/2022/Mexico.html
Mexico,Practice 2,2022-10-28T21:00:00Z,2022-10-28T22:00:00Z,https://www.formula1.com/en/racing/2022/Mexico.html
Mexico,Practice 3,2022-10-29T17:00:00Z,2022-10-29T18:00:00Z,https://www.formula1.com/en/racing/2022/Mexico.html
Mexico,Qualifying,2022-10-29T20:00:00Z,2022-10-29T21:00:00Z,https://www.formula1.com/en/racing/2022/Mexico.html
Mexico,Race,2022-10-30T20:00:00Z,2022-10-30T22:00:00Z,https://www.formula1.com/en/racing/2022/Mexico.html
Brazil,Practice 1,2022-11-11T15:30:00Z,2022-11-11T16:30:00Z,https://www.formula1.com/en/racing/2022/Brazil.html
Brazil,Practice 2,2022-11-12T15:30:00Z,2022-11-12T16:30:00Z,https://www.formula1.com/en/racing/2022/Brazil.html
Brazil,Sprint,2022-11-12T19:30:00Z,2022-11-12T20:30:00Z,https://www.formula1.com/en/racing/2022/Brazil.html
Brazil,Qualifying,2022-11-11T19:00:00Z,2022-11-11T20:00:00Z,https://www.formula1.com/en/racing/2022/Brazil.html
Brazil,Race,2022-11-13T18:00:00Z,2022-11-13T20:00:00Z,https://www.formula1.com/en/racing/2022/Brazil.html
United_Arab_Emirates,Practice 1,2022-11-18T10:00:00Z,2022-11-18T11:00:00Z,https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html
United_Arab_Emirates,Practice 2,2022-11-18T13:00:00Z,2022-11-18T14:00:00Z,https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html
United_Arab_Emirates,Practice 3,2022-11-19T11:00:00Z,2022-11-19T12:00:00Z,https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html
United_Arab_Emirates,Qualifying,2022-11-19T14:00:00Z,2022-11-19T15:00:00Z,https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html
United_Arab_Emirates,Race,2022-11-20T13:00:00Z,2022-11-20T15:00:00Z,https://www.formula1.com/en/racing/2022/United_Arab_Emirates.html
